TIME_STAMP	Qualcomm 5G-NR MAC UL DCI Info_Ver2[Per Slot] PCell UL DCI UL_DCI Slot Info BWP Ind
2022-03-02 17:35:06.000530	2
2022-03-02 17:35:06.006452	2
2022-03-02 17:35:06.009541	2
2022-03-02 17:35:06.015611	2
2022-03-02 17:35:06.018574	2
2022-03-02 17:35:06.024550	2
2022-03-02 17:35:06.028041	2
2022-03-02 17:35:06.030541	2
2022-03-02 17:35:06.036475	2
2022-03-02 17:35:06.039543	2
2022-03-02 17:35:06.045584	2
2022-03-02 17:35:06.048575	2
2022-03-02 17:35:06.054544	2
2022-03-02 17:35:06.060541	2
2022-03-02 17:35:06.066452	2
2022-03-02 17:35:06.069541	2
2022-03-02 17:35:06.072556	2
2022-03-02 17:35:06.075574	2
2022-03-02 17:35:06.078574	2
2022-03-02 17:35:06.084549	2
2022-03-02 17:35:06.090543	2
2022-03-02 17:35:06.096460	2
2022-03-02 17:35:06.099547	2
2022-03-02 17:35:06.105560	2
2022-03-02 17:35:06.105573	2
2022-03-02 17:35:06.108573	2
2022-03-02 17:35:06.110972	2
2022-03-02 17:35:06.111472	2
2022-03-02 17:35:06.117564	2
2022-03-02 17:35:06.120541	2
2022-03-02 17:35:06.124466	2
2022-03-02 17:35:06.126466	2
2022-03-02 17:35:06.129548	2
2022-03-02 17:35:06.132560	2
2022-03-02 17:35:06.135576	2
2022-03-02 17:35:06.135576	2
2022-03-02 17:35:06.138574	2
2022-03-02 17:35:06.144546	2
2022-03-02 17:35:06.147562	2
2022-03-02 17:35:06.148044	2
2022-03-02 17:35:06.150044	2
2022-03-02 17:35:06.150544	2
2022-03-02 17:35:06.156473	2
2022-03-02 17:35:06.159544	2
2022-03-02 17:35:06.165565	2
2022-03-02 17:35:06.165565	2
2022-03-02 17:35:06.168553	2
2022-03-02 17:35:06.171448	2
2022-03-02 17:35:06.174531	2
2022-03-02 17:35:06.177557	2
2022-03-02 17:35:06.180541	2
2022-03-02 17:35:06.184463	2
2022-03-02 17:35:06.186463	2
2022-03-02 17:35:06.189538	2
2022-03-02 17:35:06.192059	2
2022-03-02 17:35:06.192559	2
2022-03-02 17:35:06.195580	2
